Year_Month,Province,Standardized_NO2,Standardized_PM25,Standardized_PM10
2016-10,Zuid-Holland,1.459556475632926,0.7587989553033612,-0.36041383742099203
2016-11,Drenthe,0.06509725551265685,,0.2058610795822359
2016-11,Flevoland,0.49351580193629374,,0.9399244045903644
2016-11,Friesland,-0.040097180900939014,-0.08289930671023946,0.264419212911754
2016-11,Gelderland,1.3080785880039656,0.9064329860800486,
2016-11,Groningen,1.058897154036085,0.3439901197586502,
2016-11,Limburg,1.021390029031467,0.8884909549856675,
2016-11,Noord-Brabant,1.2279674603195982,1.2354036192661706,-0.1719841076418659
2016-11,Noord-Holland,1.6661794715521296,1.0029144870393816,0.033489425130966075
2016-11,Overijssel,0.36496097409797124,0.6065615517158148,-0.7631684894489323
2016-11,Utrecht,1.4714566867593473,0.7089528254139787,-0.4849458435241775
2016-11,Zeeland,0.6669998827059916,,0.9426002145660242
2016-11,Zuid-Holland,1.8249451754032453,0.7626782193260992,0.03297500647083927
2016-12,Drenthe,0.5182371904730864,,
2016-12,Flevoland,1.1631727457500571,,
2016-12,Friesland,0.8095650757272242,1.2349754143676714,
2016-12,Gelderland,1.6458570656830382,2.151895785935975,1.3818433220904802
2016-12,Groningen,1.4266539430744933,1.860495800307791,1.1350908062081644
2016-12,Limburg,1.45318524011127,2.004383822972121,0.9277890326087439
2016-12,Noord-Brabant,1.6523108802234379,2.4650590729800355,1.3537075350497159
2016-12,Noord-Holland,2.0159317424715115,2.494394241063891,1.0146727570171747
2016-12,Overijssel,0.9261014725830318,2.1473353176537637,0.5196790369991103
2016-12,Utrecht,1.8617171864677222,2.2321927400002872,0.7356078335710494
2016-12,Zeeland,1.3752616031962002,,0.9050492114734743
2016-12,Zuid-Holland,2.1322251241942802,2.4178623666585533,1.2737342272533139
2017-01,Drenthe,0.4581525324200569,,-0.8409923851647627
2017-01,Flevoland,0.7413993786758337,,0.27294683640109346
2017-01,Friesland,0.47978091787557786,2.046962626626113,-1.298006028126765
2017-01,Gelderland,1.6996270752540645,2.5168266905826635,0.5950904609418791
2017-01,Groningen,1.357266392261095,2.4450736625317764,0.7016160402789681
2017-01,Limburg,1.505981012868495,2.197075440249015,0.022904646812631976
2017-01,Noord-Brabant,1.64196129640753,2.5885999143010805,0.7560835225959806
2017-01,Noord-Holland,2.0117829228022694,2.472790125525754,0.35487315995919044
2017-01,Overijssel,0.6569289717105047,2.5377376158319116,-0.3756002594891463
2017-01,Utrecht,1.7979691369246067,2.2935234127869304,
2017-01,Zeeland,1.091771376011946,,
2017-01,Zuid-Holland,2.1342126356079554,2.2247330328835138,
2017-02,Drenthe,-0.33232049238390804,,-0.6795550880000895
2017-02,Flevoland,0.2601983379839265,,0.1490762980215963
2017-02,Friesland,-0.08285052111503821,2.797665729218909,-1.1334562332586369
2017-02,Gelderland,1.1973696005498795,2.724769421015955,0.8708250911822342
2017-02,Groningen,0.5881897908320429,2.263357480563478,0.9803600023758424
2017-02,Limburg,0.9796292620414466,2.015853009537947,0.02895874815655647
2017-02,Noord-Brabant,1.1854187874664046,2.621672796354178,
2017-02,Noord-Holland,1.5183863149955918,2.922966173820219,
2017-02,Overijssel,0.20828797607746055,2.659044863355917,
2017-02,Utrecht,1.265240927880004,2.5416235123127944,-0.24958573544643026
2017-02,Zeeland,0.6989173616496269,,0.33648790854893834
2017-02,Zuid-Holland,1.7668342743461307,2.6809362188010537,0.33099224120058046
2017-03,Drenthe,-0.5621197232121524,,1.4142503814282947
2017-03,Flevoland,-0.05802999807919806,,1.6335871944356335
2017-03,Friesland,-0.6358077501111739,0.1591430358525264,0.8866634698627338
2017-03,Gelderland,1.0908324528314113,0.30628784688896077,
2017-03,Groningen,0.5331302830838672,0.4721741135213509,
2017-03,Limburg,0.6634555649553397,0.256388610878321,
2017-03,Noord-Brabant,1.0091927477787437,0.6854195132956018,0.6761559344055545
2017-03,Noord-Holland,1.5600917806261567,0.925876416812085,0.3125480101117093
2017-03,Overijssel,-0.3274550796976405,-0.0489586630911822,-0.36356419914053467
2017-03,Utrecht,1.1958039682598385,0.4945742429839012,0.12866039260217751
2017-03,Zeeland,0.38835084759003563,,-0.1044821558709871
2017-03,Zuid-Holland,1.8045571626767316,0.8214220329821813,0.3694722308519631
2017-04,Drenthe,-1.1549807419625169,,
2017-04,Flevoland,-0.8804556407466969,,
2017-04,Friesland,-1.7855838545664542,-0.8428733800183871,
