Unnamed: 0,Year_Month,Province,Average NO2 Value,Average PM2.5 Value,Average PM10 Value,area_km2_st,vehicles_tot,Year,RegioS
467.0,2018-03-01,Zuid-Holland,1.8738843850309728,2.278458293247255,1.86890655378907,0.0,1.487081592756217,,
468.0,2018-04-01,Drenthe,-0.65136486557837,,0.7148647710033664,0.0,-1.0521706297180344,,
469.0,2018-04-01,Flevoland,-0.4317779742210358,,1.176481484117648,0.0,-0.9524340992609523,,
470.0,2018-04-01,Friesland,-0.9807452026143711,1.7393440661185628,1.6380981972319293,0.0,-0.6815982209571082,,
471.0,2018-04-01,Gelderland,0.5563630368869679,1.7393440661185628,2.330523266903352,0.0,0.9589488557843924,,
472.0,2018-04-01,Groningen,0.0073958084936324,1.7393440661185628,2.7921399800176325,0.0,-1.0289073219540792,,
473.0,2018-04-01,Limburg,0.1171892541722995,1.200229838989871,1.4072898406747885,0.0,0.0075417125728072,,
474.0,2018-04-01,Noord-Brabant,0.5563630368869679,2.0089011796829093,1.86890655378907,0.0,1.359605384092034,,
475.0,2018-04-01,Noord-Holland,1.4347106023163043,2.548015406811601,2.561331623460492,0.0,1.0743410235384998,,
476.0,2018-04-01,Overijssel,-0.761158311257037,1.4697869525542169,1.4072898406747885,0.0,0.1062752550472887,,
477.0,2018-04-01,Utrecht,0.775949928244302,2.0089011796829093,2.0997149103462105,0.0,0.2266786376344053,,
478.0,2018-04-01,Zeeland,0.1171892541722995,,1.6380981972319293,0.0,-1.5053621895354865,,
479.0,2018-04-01,Zuid-Holland,1.5445040479949714,2.278458293247255,2.0997149103462105,0.0,1.487081592756217,,
480.0,2018-05-01,Drenthe,-0.761158311257037,,0.4840564144462256,0.0,-1.0521706297180344,,
481.0,2018-05-01,Flevoland,-0.65136486557837,,0.9456731275605073,0.0,-0.9524340992609523,,
482.0,2018-05-01,Friesland,-1.0905386482930384,0.3915584982968328,0.9456731275605073,0.0,-0.6815982209571082,,
483.0,2018-05-01,Gelderland,0.3367761455296337,0.9306727254255248,1.6380981972319293,0.0,0.9589488557843924,,
484.0,2018-05-01,Groningen,-0.2121910828637017,0.6611156118611788,1.176481484117648,0.0,-1.0289073219540792,,
485.0,2018-05-01,Limburg,-0.1023976371850346,0.9306727254255248,1.6380981972319293,0.0,0.0075417125728072,,
486.0,2018-05-01,Noord-Brabant,0.2269826998509666,1.4697869525542169,1.6380981972319293,0.0,1.359605384092034,,
487.0,2018-05-01,Noord-Holland,0.775949928244302,1.7393440661185628,2.0997149103462105,0.0,1.0743410235384998,,
488.0,2018-05-01,Overijssel,-0.9807452026143711,0.1220013847324868,0.9456731275605073,0.0,0.1062752550472887,,
489.0,2018-05-01,Utrecht,0.0073958084936324,0.9306727254255248,1.6380981972319293,0.0,0.2266786376344053,,
490.0,2018-05-01,Zeeland,0.1171892541722995,,2.7921399800176325,0.0,-1.5053621895354865,,
491.0,2018-05-01,Zuid-Holland,0.775949928244302,2.0089011796829093,2.0997149103462105,0.0,1.487081592756217,,
492.0,2018-06-01,Drenthe,-1.0905386482930384,,-0.4391770117823371,0.0,-1.0521706297180344,,
493.0,2018-06-01,Flevoland,-0.8709517569357041,,-0.2083686552251964,0.0,-0.9524340992609523,,
494.0,2018-06-01,Friesland,-1.2003320939717053,-0.6866699559605512,-0.4391770117823371,0.0,-0.6815982209571082,,
495.0,2018-06-01,Gelderland,0.0073958084936324,0.3915584982968328,0.9456731275605073,0.0,0.9589488557843924,,
