,Year_Month,Province,Average NO2 Value,Average PM2.5 Value,Average PM10 Value,area_km2,vehicles_tot
324,2017-04-01,Drenthe,8,,15.0,0.0,11755668
325,2017-04-01,Flevoland,9,,16.0,0.0,12550586
326,2017-04-01,Friesland,5,7.0,13.0,0.0,14990976
327,2017-04-01,Gelderland,22,11.0,21.0,0.0,43979534
328,2017-04-01,Groningen,13,8.0,17.0,0.0,11936457
329,2017-04-01,Limburg,20,13.0,21.0,0.0,23560147
330,2017-04-01,Noord-Brabant,20,12.0,19.0,0.0,57201144
331,2017-04-01,Noord-Holland,24,10.0,18.0,0.0,47438165
332,2017-04-01,Overijssel,7,10.0,15.0,0.0,25136738
333,2017-04-01,Utrecht,21,9.0,16.0,0.0,27202822
334,2017-04-01,Zeeland,13,,20.0,0.0,8732228
335,2017-04-01,Zuid-Holland,27,11.0,20.0,0.0,62190626
336,2017-05-01,Drenthe,11,,13.0,0.0,11755668
337,2017-05-01,Flevoland,10,,13.0,0.0,12550586
338,2017-05-01,Friesland,7,8.0,14.0,0.0,14990976
339,2017-05-01,Gelderland,20,10.0,18.0,0.0,43979534
340,2017-05-01,Groningen,15,8.0,18.0,0.0,11936457
341,2017-05-01,Limburg,17,9.0,16.0,0.0,23560147
342,2017-05-01,Noord-Brabant,20,10.0,17.0,0.0,57201144
343,2017-05-01,Noord-Holland,24,10.0,17.0,0.0,47438165
344,2017-05-01,Overijssel,8,7.0,15.0,0.0,25136738
345,2017-05-01,Utrecht,18,9.0,15.0,0.0,27202822
346,2017-05-01,Zeeland,15,,16.0,0.0,8732228
347,2017-05-01,Zuid-Holland,26,10.0,17.0,0.0,62190626
348,2017-06-01,Drenthe,9,,14.0,0.0,11755668
349,2017-06-01,Flevoland,8,,13.0,0.0,12550586
350,2017-06-01,Friesland,6,6.0,12.0,0.0,14990976
351,2017-06-01,Gelderland,19,8.0,18.0,0.0,43979534
352,2017-06-01,Groningen,13,6.0,19.0,0.0,11936457
353,2017-06-01,Limburg,16,7.0,18.0,0.0,23560147
354,2017-06-01,Noord-Brabant,16,9.0,18.0,0.0,57201144
355,2017-06-01,Noord-Holland,21,8.0,18.0,0.0,47438165
356,2017-06-01,Overijssel,8,6.0,15.0,0.0,25136738
357,2017-06-01,Utrecht,17,7.0,16.0,0.0,27202822
358,2017-06-01,Zeeland,11,,16.0,0.0,8732228
359,2017-06-01,Zuid-Holland,23,8.0,18.0,0.0,62190626
360,2017-07-01,Drenthe,5,,11.0,0.0,11755668
361,2017-07-01,Flevoland,7,,12.0,0.0,12550586
362,2017-07-01,Friesland,5,3.0,11.0,0.0,14990976
363,2017-07-01,Gelderland,17,7.0,16.0,0.0,43979534
364,2017-07-01,Groningen,12,4.0,18.0,0.0,11936457
365,2017-07-01,Limburg,14,7.0,16.0,0.0,23560147
366,2017-07-01,Noord-Brabant,15,8.0,15.0,0.0,57201144
367,2017-07-01,Noord-Holland,19,7.0,16.0,0.0,47438165
368,2017-07-01,Overijssel,6,5.0,14.0,0.0,25136738
369,2017-07-01,Utrecht,16,6.0,14.0,0.0,27202822
